protocol,track,method,partition,n_samples,n_true,n_fake,macro_f1,balanced_accuracy,precision_fake,recall_fake,f1_fake,fpr_true,accuracy,roc_auc,average_precision,threshold_q95,noise_rate,assignment_coverage,selected,parameters_json,eps_method,cluster_count_train,train_noise_rate,core_count_train,fit_seconds,parameter_name,parameter_value,eps,min_samples,cluster_count,cluster_sizes_json,noise_count,silhouette_cosine_nonnoise,ari,nmi,cluster_composition_json,k,stability_seeds,stability_pairwise_ari,stability_mean_pairwise_ari,selection_rule,validation_silhouette_cosine,core_count,valid,invalid_reason,features,fit_warnings
canonical_random_group,topic_discovery_candidate,DBSCANTopic,train,,,,,,,,,,,,,,0.7657407407407407,,True,,normalized maximum vertical deviation from endpoint chord; stable knee,,,,0.427476700002444,,,0.7718185782432556,5.0,39.0,"{""0"": 588, ""1"": 6, ""2"": 58, ""3"": 112, ""4"": 10, ""5"": 9, ""6"": 9, ""7"": 20, ""8"": 13, ""9"": 5, ""10"": 6, ""11"": 5, ""12"": 5, ""13"": 8, ""14"": 6, ""15"": 6, ""16"": 5, ""17"": 8, ""18"": 5, ""19"": 7, ""20"": 5, ""21"": 6, ""22"": 13, ""23"": 5, ""24"": 7, ""25"": 6, ""26"": 8, ""27"": 7, ""28"": 4, ""29"": 5, ""30"": 9, ""31"": 5, ""32"": 5, ""33"": 6, ""34"": 4, ""35"": 11, ""36"": 4, ""37"": 6, ""38"": 5}",,0.03424932807683945,,,,,,,,,,581.0,True,,,
canonical_random_group,topic_discovery_candidate,DBSCANTopic,train,,,,,,,,,,,,,,0.649537037037037,,False,,normalized maximum vertical deviation from endpoint chord; stable knee,,,,0.4062481999862939,,,0.8181741237640381,10.0,8.0,"{""0"": 1238, ""1"": 177, ""2"": 34, ""3"": 17, ""4"": 7, ""5"": 10, ""6"": 20, ""7"": 11}",,0.01846971921622753,,,,,,,,,,776.0,True,,,
canonical_random_group,topic_discovery_candidate,DBSCANTopic,train,,,,,,,,,,,,,,0.6189814814814815,,False,,normalized maximum vertical deviation from endpoint chord; stable knee,,,,0.3913695999945048,,,0.8373956680297852,20.0,4.0,"{""0"": 1378, ""1"": 198, ""2"": 47, ""3"": 23}",,0.021978704258799553,,,,,,,,,,686.0,True,,,
canonical_random_group,topic_discovery_candidate,DBSCANTopic,train,,,,,,,,,,,,,,0.5432870370370371,,False,,normalized maximum vertical deviation from endpoint chord; stable knee,,,,0.023400100006256253,,,0.8566654324531555,40.0,1.0,"{""0"": 1973}",,,,,,,,,,,,681.0,False,fewer than two non-noise clusters,,
canonical_random_group,topic_discovery,DBSCANTopic,train,4320.0,,,,,,,,,,,,,0.7657407407407407,,,,,,,,,,,,,39.0,"{""0"": 588, ""1"": 6, ""2"": 58, ""3"": 112, ""4"": 10, ""5"": 9, ""6"": 9, ""7"": 20, ""8"": 13, ""9"": 5, ""10"": 6, ""11"": 5, ""12"": 5, ""13"": 8, ""14"": 6, ""15"": 6, ""16"": 5, ""17"": 8, ""18"": 5, ""19"": 7, ""20"": 5, ""21"": 6, ""22"": 13, ""23"": 5, ""24"": 7, ""25"": 6, ""26"": 8, ""27"": 7, ""28"": 4, ""29"": 5, ""30"": 9, ""31"": 5, ""32"": 5, ""33"": 6, ""34"": 4, ""35"": 11, ""36"": 4, ""37"": 6, ""38"": 5}",3308.0,0.03424932807683945,0.03531604050088303,0.05921485506193347,"[{""cluster_id"": -1, ""fake_1"": 1876, ""total"": 3308, ""true_0"": 1432}, {""cluster_id"": 0, ""fake_1"": 112, ""total"": 588, ""true_0"": 476}, {""cluster_id"": 1, ""fake_1"": 3, ""total"": 6, ""true_0"": 3}, {""cluster_id"": 2, ""fake_1"": 18, ""total"": 58, ""true_0"": 40}, {""cluster_id"": 3, ""fake_1"": 47, ""total"": 112, ""true_0"": 65}, {""cluster_id"": 4, ""fake_1"": 5, ""total"": 10, ""true_0"": 5}, {""cluster_id"": 5, ""fake_1"": 4, ""total"": 9, ""true_0"": 5}, {""cluster_id"": 6, ""fake_1"": 6, ""total"": 9, ""true_0"": 3}, {""cluster_id"": 7, ""fake_1"": 12, ""total"": 20, ""true_0"": 8}, {""cluster_id"": 8, ""fake_1"": 7, ""total"": 13, ""true_0"": 6}, {""cluster_id"": 9, ""fake_1"": 1, ""total"": 5, ""true_0"": 4}, {""cluster_id"": 10, ""fake_1"": 5, ""total"": 6, ""true_0"": 1}, {""cluster_id"": 11, ""fake_1"": 5, ""total"": 5, ""true_0"": 0}, {""cluster_id"": 12, ""fake_1"": 3, ""total"": 5, ""true_0"": 2}, {""cluster_id"": 13, ""fake_1"": 8, ""total"": 8, ""true_0"": 0}, {""cluster_id"": 14, ""fake_1"": 6, ""total"": 6, ""true_0"": 0}, {""cluster_id"": 15, ""fake_1"": 5, ""total"": 6, ""true_0"": 1}, {""cluster_id"": 16, ""fake_1"": 2, ""total"": 5, ""true_0"": 3}, {""cluster_id"": 17, ""fake_1"": 0, ""total"": 8, ""true_0"": 8}, {""cluster_id"": 18, ""fake_1"": 2, ""total"": 5, ""true_0"": 3}, {""cluster_id"": 19, ""fake_1"": 2, ""total"": 7, ""true_0"": 5}, {""cluster_id"": 20, ""fake_1"": 2, ""total"": 5, ""true_0"": 3}, {""cluster_id"": 21, ""fake_1"": 1, ""total"": 6, ""true_0"": 5}, {""cluster_id"": 22, ""fake_1"": 0, ""total"": 13, ""true_0"": 13}, {""cluster_id"": 23, ""fake_1"": 1, ""total"": 5, ""true_0"": 4}, {""cluster_id"": 24, ""fake_1"": 1, ""total"": 7, ""true_0"": 6}, {""cluster_id"": 25, ""fake_1"": 0, ""total"": 6, ""true_0"": 6}, {""cluster_id"": 26, ""fake_1"": 2, ""total"": 8, ""true_0"": 6}, {""cluster_id"": 27, ""fake_1"": 3, ""total"": 7, ""true_0"": 4}, {""cluster_id"": 28, ""fake_1"": 2, ""total"": 4, ""true_0"": 2}, {""cluster_id"": 29, ""fake_1"": 2, ""total"": 5, ""true_0"": 3}, {""cluster_id"": 30, ""fake_1"": 1, ""total"": 9, ""true_0"": 8}, {""cluster_id"": 31, ""fake_1"": 4, ""total"": 5, ""true_0"": 1}, {""cluster_id"": 32, ""fake_1"": 3, ""total"": 5, ""true_0"": 2}, {""cluster_id"": 33, ""fake_1"": 4, ""total"": 6, ""true_0"": 2}, {""cluster_id"": 34, ""fake_1"": 0, ""total"": 4, ""true_0"": 4}, {""cluster_id"": 35, ""fake_1"": 1, ""total"": 11, ""true_0"": 10}, {""cluster_id"": 36, ""fake_1"": 1, ""total"": 4, ""true_0"": 3}, {""cluster_id"": 37, ""fake_1"": 0, ""total"": 6, ""true_0"": 6}, {""cluster_id"": 38, ""fake_1"": 3, ""total"": 5, ""true_0"": 2}]",,,,,,,,,,,
secondary_temporal_group,novelty_detection,DBSCANStyleNovelty,validation,1452.0,726.0,726.0,0.5004734513274336,0.571625344352617,0.7921348314606742,0.19421487603305784,0.31194690265486724,0.05096418732782369,0.571625344352617,0.9131690685973181,0.8430887335715932,3.057339372097953,0.5847107438016529,0.4152892561983471,False,"{""eps"": 0.3681010360604885, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),15.0,0.1454460966542751,1718.0,0.015793799990206026,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,DBSCANStyleNovelty,validation,1452.0,726.0,726.0,0.5696585251441912,0.6170798898071626,0.8483606557377049,0.28512396694214875,0.4268041237113402,0.05096418732782369,0.6170798898071626,0.9241940441226694,0.8603208577760273,1.788932472163833,0.5296143250688705,0.4703856749311295,False,"{""eps"": 0.570553081451455, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),6.0,0.06505576208178439,1935.0,0.020479999991948716,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,DBSCANStyleNovelty,validation,1452.0,726.0,726.0,0.7700424869635605,0.7768595041322314,0.9222689075630253,0.6046831955922864,0.7304492512479202,0.05096418732782369,0.7768595041322314,0.9326520274116065,0.8803666486394879,1.2873754946431326,0.512396694214876,0.48760330578512395,True,"{""eps"": 0.779151629211782, ""min_samples"": 5}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),2.0,0.03345724907063197,2043.0,0.025127200002316386,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,DBSCANStyleNovelty,validation,1452.0,726.0,726.0,0.4915649900398406,0.5661157024793388,0.7823529411764706,0.18319559228650137,0.296875,0.05096418732782369,0.5661157024793388,0.90690621466354,0.8337506720579797,2.2421549399511327,0.5626721763085399,0.43732782369146006,False,"{""eps"": 0.5331457776239261, ""min_samples"": 10}",predefined k-distance quantiles; knee unstable (strength < 0.02 or endpoint),4.0,0.12453531598513011,1718.0,0.017694499998469837,,,,,,,,,,,,,,,,,,,,,,
secondary_temporal_group,novelty_detection,KMeansNovelty,validation,1452.0,726.0,726.0,0.4154616498366498,0.522038567493113,0.6509433962264151,0.09504132231404959,0.1658653846153846,0.05096418732782369,0.522038567493113,0.6677433614886659,0.6268549197898107,3.605481463695698,,,False,"{""k"": 1}",,,,,,k,1.0,,,,,,,,,,,,,,,,,,,,
